,FundingOrgName,LeadROName,Department,ProjectCategory,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region
2689,ESRC,Queen's University of Belfast,Queen's Management School,Studentship,18/09/2018,31/03/2022,0.0,,Northern Ireland
2690,BBSRC,University of Nottingham,School of Life Sciences,Research Grant,31/07/2014,31/01/2020,14242855.0,,East Midlands
2691,MRC,University of Leeds,Inst of Molecular & Cellular Biology,Studentship,01/10/2017,30/11/2022,0.0,,Yorkshire and The Humber
2692,ESRC,Cardiff Metropolitan University,Cardiff School of Sport,Studentship,24/09/2018,30/09/2021,0.0,,Wales
2693,Innovate UK,Oxular Limited,,Collaborative R&D,01/01/2017,31/12/2018,690003.0,,Unknown
2694,EPSRC,University of Kent,Sch of Physical Sciences,Studentship,15/09/2018,30/09/2021,0.0,,South East
2695,BBSRC,Imperial College London,Dept of Bioengineering,Studentship,03/10/2015,02/10/2019,0.0,,London
2696,Innovate UK,Surface Generation Limited,,Feasibility Studies,01/05/2018,31/01/2019,69920.0,,East of England
2697,EPSRC,University of Essex,Computer Sci and Electronic Engineering,Research Grant,01/01/2017,31/12/2019,189195.0,,East of England
2698,BBSRC,University of Oxford,Biochemistry,Training Grant,01/10/2015,30/09/2019,95042.0,,South East
2699,BBSRC,University of Birmingham,Institute of Cancer and Genomic Sciences,Studentship,01/10/2018,30/09/2022,0.0,,West Midlands
2700,EPSRC,University of Southampton,Optoelectronics Research Centre,Studentship,29/09/2016,31/03/2020,0.0,,South East
2701,NERC,Bangor University,Sch of Environment and Natural Resources,Studentship,01/10/2017,31/03/2021,0.0,,Wales
2702,NERC,University of Leeds,Sch of Geography,Research Grant,01/05/2016,30/04/2020,252509.0,,Yorkshire and The Humber
2703,EPSRC,Newcastle University,Computing Sciences,Studentship,01/10/2016,30/09/2020,0.0,,North East
2704,EPSRC,Lancaster University,Computing & Communications,Training Grant,01/10/2014,30/09/2018,883408.0,,North West
2705,ESRC,Cardiff University,Sch of Social Sciences,Studentship,01/10/2018,30/09/2022,0.0,,Wales
2706,ESRC,Bournemouth University,Faculty of Management,Research Grant,01/09/2016,16/11/2018,286486.0,,South West
2707,Innovate UK,University of Bedfordshire,,Knowledge Transfer Partnership,01/07/2017,30/06/2019,73534.0,,East of England
2708,BBSRC,University of Surrey,Microbial & Cellular Sciences,Studentship,05/10/2015,04/10/2019,0.0,,South East
2709,BBSRC,Newcastle University,Sch of Biology,Studentship,01/10/2015,30/09/2019,0.0,,North East
2710,STFC,University of Portsmouth,Institute of Cosmology and Gravitation,Studentship,01/10/2016,30/09/2020,0.0,,South East
2711,ESRC,"Queen Mary, University of London",Politics,Studentship,01/10/2018,30/09/2022,0.0,,London
2712,ESRC,King's College London,Cancer Studies,Studentship,01/10/2017,30/09/2020,0.0,,London
2713,STFC,University of Oxford,Oxford Physics,Studentship,01/10/2018,31/03/2022,0.0,,South East
2714,BBSRC,University of York,Biology,Research Grant,16/02/2015,15/02/2020,197881.0,,Yorkshire and The Humber
2715,EPSRC,University of Manchester,Electrical and Electronic Engineering,Studentship,01/01/2017,31/08/2020,0.0,,North West
2716,MRC,King's College London,Psychosis Studies,Studentship,01/10/2018,31/03/2022,0.0,,London
2717,BBSRC,University of Bath,Biology and Biochemistry,Studentship,01/10/2017,30/09/2021,0.0,,South West
2718,EPSRC,University of Nottingham,Sch of Mathematical Sciences,Studentship,01/10/2017,30/09/2020,0.0,,East Midlands
2719,MRC,Cardiff University,School of Medicine,Research Grant,01/12/2016,30/11/2018,24316.0,,Wales
2720,Innovate UK,Cardiff University,,Knowledge Transfer Partnership,01/09/2017,29/02/2020,115009.0,,Wales
2721,ESRC,Lancaster University,History,Studentship,01/10/2018,30/09/2021,0.0,,North West
2722,BBSRC,University of Leeds,Astbury Centre,Studentship,01/10/2016,30/09/2020,0.0,,Yorkshire and The Humber
2723,MRC,University of Glasgow,,Intramural,01/04/2016,31/03/2021,,1230000.0,Scotland
2724,EPSRC,University of Oxford,Oxford Chemistry,Studentship,01/10/2017,30/09/2020,0.0,,South East
2725,MRC,University of Cambridge,Cambridge Institute for Medical Research,Research Grant,01/07/2016,30/06/2019,299758.0,,East of England
2726,ESRC,University of Manchester,"Environment, Education and Development",Research Grant,01/01/2016,31/12/2018,555475.0,,North West
2727,NERC,University of Reading,Sch of Agriculture Policy and Dev,Studentship,01/10/2017,31/03/2021,0.0,,South East
2728,Innovate UK,42 Technology Limited,,Small Business Research Initiative,01/03/2018,28/02/2019,349590.0,,East of England
2729,AHRC,University of Central Lancashire,Sch of Forensic and Investigative Sci,Research Grant,01/01/2016,31/12/2018,190916.0,,North West
2730,BBSRC,Earlham Institute,Research Faculty,Training Grant,01/10/2018,30/09/2022,99034.0,,East of England
2731,EPSRC,University of York,Computer Science,Research Grant,01/12/2018,31/05/2020,131677.0,,Yorkshire and The Humber
2732,Innovate UK,Lig BiowiSE Limited,,CRD,01/11/2018,31/07/2019,34270.0,,North West
2733,MRC,Papua New Guinea Inst of Med Research,Research,Research Grant,01/01/2016,31/12/2019,3346448.0,,Outside UK
2734,EPSRC,University of Birmingham,Metallurgy and Materials,Studentship,01/10/2016,30/09/2019,0.0,,West Midlands
2735,BBSRC,University of Manchester,Chem Eng and Analytical Science,Studentship,01/10/2017,30/09/2021,0.0,,North West
2736,STFC,STFC - Laboratories,,Intramural,01/10/2017,30/09/2021,,2175253.0,South East
2737,Innovate UK,Hel Limited,,Feasibility Studies,01/12/2017,30/11/2018,202098.0,,West Midlands
2738,Innovate UK,Avanti Communications Limited,,Feasibility Studies,01/11/2017,31/10/2018,198318.0,,London
2739,BBSRC,University of Edinburgh,The Roslin Institute,Research Grant,01/09/2015,28/02/2019,530178.0,,Scotland
2740,NERC,University of Leicester,Physics and Astronomy,Research Grant,01/05/2016,30/04/2020,178856.0,,East Midlands
2741,EPSRC,University of Manchester,Physics and Astronomy,Studentship,19/09/2016,30/09/2018,0.0,,North West
2742,BBSRC,The Pirbright Institute,Vector-borne Viral Diseases,Research Grant,01/10/2017,31/10/2019,296769.0,,South East
2743,ESRC,University of Oxford,Experimental Psychology,Studentship,01/10/2017,30/09/2020,0.0,,South East
2744,EPSRC,University of Warwick,WMG,Studentship,01/10/2018,30/09/2022,0.0,,West Midlands
2745,EPSRC,University College London,Civil Environmental and Geomatic Eng,Research Grant,03/01/2017,02/11/2019,198041.0,,London
2746,EPSRC,University of Leicester,Engineering,Research Grant,01/03/2016,31/08/2019,291037.0,,East Midlands
2747,NERC,University of Manchester,Earth Atmospheric and Env Sciences,Research Grant,01/10/2017,30/11/2020,609422.0,,North West
2748,EPSRC,University of Leeds,Civil Engineering,Research Grant,01/09/2017,31/08/2021,1025622.0,,Yorkshire and The Humber
2749,AHRC,University College London,Bentham Project,Research Grant,01/01/2016,31/12/2019,483084.0,,London
2750,Innovate UK,University of Oxford,,CRD,01/09/2018,31/08/2020,1054907.0,,South East
2751,EPSRC,"Queen Mary, University of London",Sch of Mathematical Sciences,Fellowship,01/06/2017,31/05/2020,303239.0,,London
2752,AHRC,University of Glasgow,School of Geographical & Earth Sciences,Studentship,01/10/2015,30/09/2018,0.0,,Scotland
2753,ESRC,Heriot-Watt University,Sch of Social Sciences,Research Grant,01/08/2016,31/07/2019,274066.0,,Scotland
2754,BBSRC,University of York,Biology,Studentship,01/10/2015,30/09/2019,0.0,,Yorkshire and The Humber
2755,Innovate UK,Knowledge Transfer Network Limited,,CRD,01/12/2018,31/10/2019,120000.0,,Unknown
2756,EPSRC,University of Warwick,Mathematics,Studentship,02/10/2017,31/03/2021,0.0,,West Midlands
2757,ESRC,Queen's University of Belfast,"Sch of Social Sci, Edu & Social Work",Studentship,20/09/2018,30/09/2022,0.0,,Northern Ireland
2758,STFC,Imperial College London,Dept of Physics,Research Grant,01/10/2018,30/09/2020,41259.0,,London
2759,BBSRC,University of Nottingham,School of Veterinary Medicine and Sci,Studentship,01/10/2015,30/09/2019,0.0,,East Midlands
2760,NERC,Aston University,Sch of Engineering and Applied Science,Research Grant,05/09/2018,30/04/2021,265779.0,,West Midlands
2761,Innovate UK,Axis Bioservices Limited,,EU-Funded,01/03/2018,28/02/2021,307205.0,,Unknown
2762,STFC,University of Dundee,Mathematics,Studentship,04/09/2017,30/09/2021,0.0,,Scotland
2763,EPSRC,University of Bristol,Physics,Studentship,24/09/2018,31/03/2022,0.0,,South West
2764,ESRC,University of Southampton,"Sch of Economic, Social & Political Sci",Fellowship,01/10/2018,30/09/2019,70045.0,,South East
2765,ESRC,King's College London,Social Genetic and Dev Psychiatry Centre,Research Grant,01/12/2015,30/11/2019,400890.0,,London
2766,AHRC,Institute of Development Studies,Research Department,Research Grant,01/01/2017,31/12/2019,638206.0,,South East
2767,BBSRC,University of Nottingham,Sch of Biosciences,Studentship,01/10/2016,30/09/2020,0.0,,East Midlands
2768,BBSRC,University College London,MRC Laboratory of Molecular Cell Biology,Research Grant,06/03/2017,05/03/2020,445591.0,,London
2769,NERC,University of Glasgow,School of Geographical & Earth Sciences,Research Grant,01/10/2018,30/09/2021,380776.0,,Scotland
2770,ESRC,University of St Andrews,Geography and Sustainable Development,Studentship,11/09/2017,30/09/2021,0.0,,Scotland
2771,EPSRC,University of Southampton,Optoelectronics Research Centre,Studentship,27/09/2018,31/03/2022,0.0,,South East
2772,Innovate UK,Cortirio Limited,,Feasibility Studies,01/03/2018,28/02/2019,147164.0,,Unknown
2773,EPSRC,University of Glasgow,School of Engineering,Studentship,02/10/2017,02/04/2021,0.0,,Scotland
2774,EPSRC,University of York,Chemistry,Studentship,01/10/2018,30/09/2021,0.0,,Yorkshire and The Humber
2775,EPSRC,University College London,Chemistry,Studentship,24/09/2018,22/12/2021,0.0,,London
2776,Innovate UK,PROKARIUM Limited,,Collaborative R&D,01/11/2016,31/03/2019,374331.0,,West Midlands
2777,EPSRC,University of Liverpool,Computer Science,Research Grant,01/08/2017,31/07/2020,409109.0,,North West
2778,Innovate UK,MicroPharm Limited,,Collaborative R&D,01/02/2017,31/07/2018,451323.0,,Wales
2779,Innovate UK,Loughborough University,,Knowledge Transfer Partnership,01/04/2018,31/03/2020,103444.0,,East Midlands
2780,EPSRC,University College London,"Bartlett Sch of Env, Energy & Resources",Studentship,25/09/2017,15/09/2020,0.0,,London
2781,MRC,University of Southampton,Clinical and Experimental Sciences,Fellowship,01/10/2017,30/09/2020,235730.0,,South East
2782,EPSRC,University of Edinburgh,Sch of Engineering,Studentship,01/07/2016,31/12/2019,0.0,,Scotland
2783,BBSRC,University of York,Biology,Studentship,01/10/2016,30/09/2020,0.0,,Yorkshire and The Humber
2784,BBSRC,University of Liverpool,Institute of Integrative Biology,Studentship,01/10/2017,30/09/2021,0.0,,North West
2785,BBSRC,University of Birmingham,School of Chemistry,Studentship,02/10/2017,30/09/2021,0.0,,West Midlands
2786,EPSRC,University of Exeter,Administration,Training Grant,01/10/2018,30/09/2023,84849.0,,South West
2787,BBSRC,John Innes Centre,Crop Genetics,Training Grant,01/10/2018,30/09/2022,99034.0,,East of England
2788,EPSRC,University of Leeds,Sch of Computing,Research Grant,01/03/2017,30/09/2019,101037.0,,Yorkshire and The Humber
2789,EPSRC,University of Southampton,School of Chemistry,Studentship,27/09/2018,30/09/2021,0.0,,South East
2790,MRC,University of Birmingham,Institute of Cancer and Genomic Sciences,Research Grant,01/07/2018,09/01/2020,192611.0,,West Midlands
2791,EPSRC,University of Bristol,Aerospace Engineering,Studentship,10/09/2018,09/09/2022,0.0,,South West
2792,NERC,University of Exeter,Engineering Computer Science and Maths,Research Grant,31/12/2014,30/12/2018,1111599.0,,South West
2793,MRC,University College London,Institute of Child Health,Research Grant,01/01/2015,31/07/2018,767005.0,,London
2794,NERC,Imperial College London,Grantham Institute for Climate Change,Training Grant,01/10/2014,31/10/2022,7611216.0,,London
2795,BBSRC,University of York,Biology,Research Grant,01/04/2017,31/03/2020,22264.0,,Yorkshire and The Humber
2796,EPSRC,"Queen Mary, University of London",Sch of Biological and Chemical Sciences,Studentship,01/10/2016,31/03/2020,0.0,,London
2797,Innovate UK,Corporation Pop Ltd,,Collaborative R&D,01/01/2018,30/06/2019,467359.0,,North West
2798,EPSRC,University of Glasgow,School of Chemistry,Research Grant,01/08/2018,31/07/2021,724061.0,,Scotland
2799,BBSRC,University of Edinburgh,Biomedical Sciences,Studentship,01/09/2018,31/08/2022,0.0,,Scotland
2800,MRC,The Wellcome Trust  Sanger Institute,Computational Genomics,Fellowship,01/04/2016,31/03/2019,259873.0,,East of England
2801,NERC,NERC British Geological Survey,Groundwater,Research Grant,06/06/2014,31/12/2019,306861.0,,East Midlands
2802,MRC,University of Exeter,Physics,Fellowship,01/11/2017,31/10/2022,790271.0,,South West
2803,EPSRC,University of Sheffield,Neurosciences,Studentship,01/11/2018,30/04/2022,0.0,,Yorkshire and The Humber
2804,AHRC,Courtauld Institute Of Art,Conservation & Technology,Studentship,30/09/2015,30/09/2020,0.0,,London
2805,BBSRC,University of Manchester,Chemistry,Studentship,01/10/2017,30/09/2021,0.0,,North West
2806,MRC,University of Oxford,Experimental Medicine,Research Grant,01/02/2018,31/01/2020,32443.0,,South East
2807,EPSRC,University of Oxford,Mathematical Institute,Fellowship,02/05/2017,01/05/2020,271306.0,,South East
2808,STFC,University of Edinburgh,Sch of Physics and Astronomy,Research Grant,01/10/2015,30/09/2019,2566418.0,,Scotland
2809,BBSRC,University of York,Biology,Studentship,01/10/2017,30/09/2021,0.0,,Yorkshire and The Humber
2810,EPSRC,University College London,Physics and Astronomy,Studentship,01/10/2017,30/09/2020,0.0,,London
2811,EPSRC,"Queen Mary, University of London",Sch of Electronic Eng & Computer Science,Research Grant,01/11/2017,31/10/2020,388776.0,,London
2812,BBSRC,"Royal Holloway, University of London",Psychology,Training Grant,17/04/2017,16/04/2020,11050.0,,South East
2813,EPSRC,University of Oxford,Engineering Science,Studentship,01/10/2016,30/09/2020,0.0,,South East
2814,ESRC,King's College London,"Social Science, Health and Medicine",Research Grant,01/04/2016,31/07/2019,193356.0,,London
2815,EPSRC,University of Sheffield,Oncology and Metabolism,Research Grant,17/10/2017,15/04/2019,100577.0,,Yorkshire and The Humber
2816,EPSRC,University of Nottingham,Sch of Chemistry,Research Grant,01/12/2016,30/11/2019,446260.0,,East Midlands
2817,STFC,University of Warwick,Physics,Training Grant,01/10/2015,30/09/2020,852035.0,,West Midlands
2818,Innovate UK,University of Kent,,Knowledge Transfer Partnership,01/04/2018,31/03/2020,84886.0,,South East
2819,EPSRC,University of Birmingham,School of Chemistry,Studentship,01/10/2017,30/09/2020,0.0,,West Midlands
2820,EPSRC,University of Kent,Sch of Maths Statistics & Actuarial Scie,Studentship,15/09/2018,31/03/2022,0.0,,South East
2821,EPSRC,University of Nottingham,School of Life Sciences,Studentship,01/10/2017,31/03/2021,0.0,,East Midlands
2822,MRC,University College London,Institute of Health Informatics,Studentship,25/09/2017,30/09/2020,0.0,,London
2823,ESRC,University of Sheffield,Architectural Studies,Research Grant,20/07/2017,19/07/2020,266090.0,,Yorkshire and The Humber
2824,BBSRC,University of Leeds,School of Medicine,Research Grant,01/10/2017,30/09/2020,451455.0,,Yorkshire and The Humber
2825,MRC,University of Manchester,School of Medical Sciences,Fellowship,03/08/2016,02/08/2019,269390.0,,North West
2826,MRC,Institute of Cancer Research,,Intramural,01/03/2018,28/02/2020,,472000.0,London
2827,NC3Rs,King's College London,Developmental Neurobiology,Fellowship,01/02/2017,31/01/2019,132570.0,,London
2828,MRC,University of Leeds,School of Medicine,Research Grant,01/04/2014,31/03/2019,6952753.0,,Yorkshire and The Humber
2829,BBSRC,University of Bristol,Clinical Science at North Bristol,Studentship,18/09/2017,30/09/2021,0.0,,South West
2830,EPSRC,Swansea University,School of Engineering,Studentship,01/10/2016,31/03/2020,0.0,,Wales
2831,EPSRC,"Queen Mary, University of London",Sch of Electronic Eng & Computer Science,Training Grant,01/10/2018,30/09/2022,300000.0,,London
2832,EPSRC,Cardiff University,Chemistry,Studentship,01/10/2018,30/09/2021,0.0,,Wales
2833,EPSRC,Imperial College London,Materials,Research Grant,01/11/2016,30/04/2019,363466.0,,London
2834,BBSRC,University of Oxford,Interdisciplinary Bioscience DTP,Studentship,01/10/2017,30/09/2021,0.0,,South East
2835,STFC,University of the West of Scotland,School of Engineering,Research Grant,01/10/2017,30/09/2021,779539.0,,Scotland
2836,EPSRC,University of Cambridge,Engineering,Studentship,01/10/2015,30/09/2019,0.0,,East of England
2837,Innovate UK,Arrival Limited,,Collaborative R&D,01/01/2018,30/06/2020,6820884.0,,Unknown
2838,MRC,"Queen Mary, University of London",Barts Cancer Institute,Fellowship,01/02/2017,31/01/2022,1218815.0,,London
2839,AHRC,University of Nottingham,Sch of Humanities,Research Grant,08/01/2018,07/01/2021,578675.0,,East Midlands
2840,STFC,Newcastle University,Mathematics and Statistics,Studentship,26/09/2016,28/02/2020,0.0,,North East
2841,BBSRC,University of Nottingham,Sch of Biosciences,Studentship,01/10/2017,30/09/2021,0.0,,East Midlands
